Water Year|Day|Oct|Nov|Dec|Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep
2003|30||||||||||||33.8
2003|31||||||||||||
2004|1|41|19.4|-27.4|10.4|-25.6|-11.2|-25.6|19.4|32|55.4|37.4|37.4
2004|2|35.6|21.2|-22|24.8|-32.8|-9.4|-20.2|21.2|32|55.4|37.4|35.6
2004|3|32|23|-27.4|23|-20.2|-23.8|-16.6|14|32|60.8|41|33.8
2004|4|30.2|30.2|-23.8|6.8|-20.2|-25.6|-13|15.8|32|48.2|41|33.8
2004|5|32|32|-7.6|-2.2|-20.2|-40|-9.4|14|33.8|42.8|50|37.4
2004|6|32|17.6|-23.8|-11.2|-23.8|-36.4|1.4|10.4|32|39.2|59|42.8
2004|7|30.2|8.6|-23.8|-20.2|-41.8|-32.8|3.2|10.4|33.8|48.2|60.8|42.8
2004|8|30.2|5|-18.4|-16.6|-32.8|-32.8|3.2|15.8|32|42.8|59|35.6
2004|9|30.2|-2.2|-7.6|-4|-13|-27.4|8.6|23|32|41|55.4|35.6
2004|10|26.6|-4|-0.4|-0.4|-11.2|-20.2|6.8|28.4|35.6|50|51.8|35.6
2004|11|21.2|-0.4|5|-0.4|-14.8|-23.8|1.4|26.6|35.6|42.8|50|33.8
2004|12|23|-5.8|5|-7.6|-16.6|-18.4|6.8|23|37.4|44.6|50|32
2004|13|21.2|-20.2|1.4|-16.6|-23.8|-14.8|3.2|21.2|39.2|50|48.2|32
2004|14|23|-27.4|3.2|-22|-29.2|-14.8|6.8|26.6|41|42.8|51.8|32
2004|15|30.2|-27.4|1.4|-25.6|-29.2|-7.6|5|26.6|50|41|55.4|32
2004|16|28.4|-18.4|1.4|-20.2|-40|-9.4|3.2|26.6|57.2|42.8|57.2|32
2004|17|19.4|-14.8|3.2|-16.6|-45.4|-27.4|1.4|28.4|55.4|46.4|60.8|32
2004|18|19.4|-18.4|6.8|-18.4|-45.4|-32.8|-4|33.8|51.8|42.8|46.4|32
2004|19|23|-5.8|6.8|-18.4|-36.4|12.2|-4|32|53.6|44.6|42.8|32
2004|20|23|21.2|-2.2|-20.2|-23.8|26.6|-4|35.6|41|41|42.8|32
2004|21|19.4|12.2|-0.4|-29.2|-23.8|17.6|-0.4|35.6|42.8|48.2|39.2|32
2004|22|23|1.4|-9.4|-38.2|-18.4|-22|1.4|33.8|50|59|39.2|35.6
2004|23|24.8|5|-7.6|-22|-22|-31|3.2|32|51.8|60.8|35.6|32
2004|24|23|-7.6|-9.4|-16.6|-27.4|-20.2|3.2|30.2|44.6|55.4|35.6|32
2004|25|19.4|-7.6|-9.4|-27.4|-32.8|-29.2|6.8|28.4|50|51.8|35.6|30.2
2004|26|19.4|1.4|-14.8|-27.4|-40|-32.8|26.6|32|55.4|44.6|39.2|30.2
2004|27|8.6|3.2|-2.2|-29.2|-34.6|-31|28.4|30.2|53.6|39.2|42.8|30.2
2004|28|23|-13|10.4|-18.4|-34.6|-22|23|30.2|44.6|35.6|41|30.2
2004|29|32|-20.2|10.4|-7.6|-27.4|-16.6|24.8|32|35.6|44.6|37.4|30.2
2004|30|32|-20.2|8.6|-20.2||-11.2|21.2|32|41|42.8|46.4|23
2004|31|23||-0.4|-32.8||-18.4||32||35.6|37.4|
2005|1|19.4|5|-5.8|15.8|-22|-31|-9.4|23|32|39.2|41|39.2
2005|2|30.2|1.4|-2.2|26.6|-25.6|-27.4|-7.6|19.4|32|35.6|46.4|42.8
2005|3|32|-0.4|-0.4|15.8|-25.6|-25.6|-13|15.8|32|37.4|51.8|35.6
2005|4|32|-11.2|-0.4|6.8|-22|-18.4|-14.8|10.4|32|41|48.2|33.8
2005|5|32|-13|-20.2|15.8|-14.8|-5.8|-2.2|12.2|30.2|35.6|55.4|35.6
2005|6|32|-16.6|-14.8|32|-14.8|-22|-0.4|17.6|33.8|37.4|55.4|35.6
2005|7|30.2|-20.2|-23.8|21.2|-11.2|-16.6|6.8|21.2|33.8|39.2|55.4|33.8
2005|8|26.6|-13|-20.2|-14.8|-4|-5.8|6.8|21.2|35.6|42.8|55.4|33.8
2005|9|23|-14.8|-22|-22|-7.6|-7.6|5|23|33.8|41|59|37.4
2005|10|21.2|-22|-25.6|-22|-4|-2.2|-4|19.4|33.8|44.6|57.2|35.6
2005|11|21.2|-5.8|-32.8|-22|-13|10.4|-2.2|21.2|32|42.8|55.4|33.8
2005|12|23|6.8|-31|-32.8|-22|15.8|-4|24.8|32|42.8|50|42.8
2005|13|23|10.4|-32.8|-36.4|-13|5|-5.8|26.6|33.8|44.6|44.6|
2005|14|21.2|14|-29.2|-34.6|-2.2|1.4|-0.4|26.6|37.4|42.8|42.8|
2005|15|19.4|12.2|-13|-41.8|-4|-0.4|-2.2|23|33.8|39.2|37.4|
2005|16|17.6|6.8|-4|-32.8|-5.8|-5.8|-4|28.4|37.4|39.2|33.8|
2005|17|17.6|-0.4|1.4|-20.2|-7.6|3.2|-5.8|32|37.4|39.2|35.6|
2005|18|28.4|10.4|-0.4|-13|-23.8|-4|1.4|32|35.6|33.8|35.6|
2005|19|26.6|12.2|-2.2|-11.2|-16.6|-0.4|6.8|32|37.4|37.4|35.6|
2005|20|21.2|3.2|-5.8|-13|-9.4|-4|8.6|30.2|37.4|44.6|37.4|
2005|21|15.8|10.4|-5.8|-7.6|-18.4|5|14|30.2|33.8|44.6|44.6|
2005|22|15.8|17.6|-13|-9.4|-20.2|5|28.4|32|32|42.8|41|
2005|23|26.6|17.6|-23.8|-11.2|-16.6|5|19.4|30.2|37.4|42.8|37.4|
2005|24|21.2|15.8|5|-18.4|-13|-5.8|15.8|30.2|37.4|42.8|35.6|
2005|25|23|5|15.8|-29.2|-14.8|-18.4|19.4|32|37.4|39.2|33.8|
2005|26|17.6|-7.6|-7.6|-34.6|-18.4|-11.2|19.4|32|48.2|39.2|35.6|
2005|27|10.4|3.2|-16.6|-23.8|-20.2|-13|23|32|55.4|39.2|37.4|
2005|28|10.4|10.4|-13|-0.4|-25.6|-13|21.2|32|48.2|35.6|37.4|
2005|29|3.2|10.4|3.2|-2.2||-16.6|23|32|35.6|37.4|32|
2005|30|-9.4|-2.2|15.8|-27.4||-18.4|24.8|32|37.4|37.4|32|
2005|31|-9.4||6.8|-23.8||-14.8||32||37.4|37.4|
2006|1|||||||||33.8|39.2||
2006|2|||||||||30.2|37.4||
2006|3|||||||||30.2|37.4||
2006|4|||||||||39.2|35.6||
2006|5|||||||||39.2|33.8||
2006|6|||||||||39.2|37.4||
2006|7|||||||||44.6|41||
2006|8|||||||||46.4|37.4||
2006|9|||||||||46.4|39.2||
2006|10|||||||||51.8|39.2||
2006|11|||||||||41|39.2||
2006|12|||||||||50|37.4||
2006|13|||||||||44.6|44.6||
2006|14|||||||||39.2|53.6||
2006|15|||||||||35.6|51.8||
2006|16|||||||||39.2|50||
2006|17|||||||||41|57.2||
2006|18|||||||||39.2|50||
2006|19|||||||||46.4|||
2006|20|||||||||51.8|||
2006|21|||||||||53.6|||
2006|22|||||||||41|||
2006|23|||||||||51.8|||
2006|24|||||||||60.8|||
2006|25|||||||||48.2|||
2006|26|||||||||48.2|||
2006|27|||||||||51.8|||
2006|28|||||||||55.4|||
2006|29|||||||||53.6|||
2006|30|||||||||50|||
2006|31||||||||||||
2007|1||||-41.8|12.2|-22|12.2|12.2|33.8|39.2|46.4|39.2
2007|2||||-36.4|14|-27.4|17.6|12.2|33.8|44.6|44.6|41
2007|3||||-22|8.6|-36.4|-0.4|15.8|35.6|50|44.6|39.2
2007|4||||-16.6|19.4|-36.4|3.2|21.2|37.4|46.4|44.6|37.4
